title,author,genre,pages
Message Not Found ARC,"Medema, Dante",Fiction,400
Wind Daughter ARC,"Meyer, Joanna Ruth",Young Adult Fiction,352
These Deadly Games,"Urban, Diana",Young Adult Fiction,416
A Perfect Equation,"Everett, Elizabeth",Fiction,336
Good Girl Complex,"Kennedy, Elle",Fiction,368
Daughter of the Moon Goddess,"Tan, Sue Lynn",Fiction,512
Circe,"Miller, Madeline",Fiction,400
The Song of Achilles,"Miller, Madeline",Fiction,352
Barbarian Alien,"Dixon, Ruby",Fiction,336
You Truly Assumed,"Sabreen, Laila",Young Adult Fiction,352
Count Your Lucky Stars ARC,"Bellefleur, Alexandria",Fiction,384
These Deadly Games ARC,"Urban, Diana",Young Adult Fiction,320
King of Battle and Blood,"Clair, Scarlett St.",Fiction,368
Mirror Girls,"McWilliams, Kelly",Juvenile Fiction,320
"Loveboat, Taipei","Wen, Abigail Hing",Young Adult Fiction,448
Ashes of Gold,"Elle, J.",Juvenile Fiction,416
Romancing Mister Bridgerton,"Quinn, Julia",Fiction,432
Daughter of the Moon Goddess,"Tan, Sue Lynn",Fiction,512
The Midnight Bargain,"Polk, C. L.",Fiction,384
Bound by Firelight,"Swift, Dana",Young Adult Fiction,448
Our Violent Ends,"Gong, Chloe",Young Adult Fiction,512
Love in English,"Andreu, Maria E.",Young Adult Fiction,336
The Flatshare,"O'Leary, Beth",Fiction,352
Electric Idol,"Robert, Katee",Fiction,384
Always Jane ARC,"Bennett, Jenn",Young Adult Fiction,384
Kingdom of the Cursed,"Maniscalco, Kerri",Young Adult Fiction,448
Love & Other Disasters,"Kelly, Anita",Fiction,368
This Woven Kingdom,"Mafi, Tahereh",Young Adult Fiction,512
Castles in Their Bones,"Sebastian, Laura",Juvenile Fiction,528
The Red Palace,"Hur, June",Young Adult Fiction,336
Lucky Leap Day,"Walker, Ann Marie",Fiction,320
Weather Girl,"Solomon, Rachel Lynn",American literature,352
Loveboat Reunion,"Wen, Abigail Hing",Juvenile Fiction,448
"Cold the Night, Fast the Wolves","Long, Meg",Juvenile Fiction,368
Ain't Burned All the Bright,"Reynolds, Jason",Young Adult Fiction,384
Forbidden,"Jenkins, Beverly",Fiction,384
When You Get the Chance,"Lord, Emma",Young Adult Fiction,320
